channel names:							
021_232_232_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	021_232_232_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	021_232_232_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	021_232_232_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	021_232_232_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	021_232_232_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	021_232_232_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	021_232_232_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
2,969837E-1	1,924936E-2	-7,263243E-1	2,339426E-1	-4,426373E-1	-4,316533E-1	-5,131009E-2	-1,010450E-1
2,970195E-1	1,913015E-2	-7,262290E-1	2,336565E-1	-4,426492E-1	-4,316414E-1	-5,128624E-2	-1,011761E-1
2,970195E-1	1,917783E-2	-7,263243E-1	2,334896E-1	-4,427565E-1	-4,316533E-1	-5,132201E-2	-1,012834E-1
2,971148E-1	1,920167E-2	-7,262528E-1	2,334896E-1	-4,429353E-1	-4,315937E-1	-5,136969E-2	-1,012476E-1
2,971148E-1	1,911823E-2	-7,263482E-1	2,336089E-1	-4,428876E-1	-4,316533E-1	-5,122664E-2	-1,011522E-1
2,971506E-1	1,905862E-2	-7,263363E-1	2,337042E-1	-4,428518E-1	-4,316533E-1	-5,139353E-2	-1,011046E-1
2,971267E-1	1,917783E-2	-7,263243E-1	2,338473E-1	-4,429353E-1	-4,318202E-1	-5,146506E-2	-1,012118E-1
2,969837E-1	1,903478E-2	-7,264316E-1	2,337757E-1	-4,430068E-1	-4,318202E-1	-5,133393E-2	-1,012595E-1
2,970433E-1	1,915399E-2	-7,263005E-1	2,339188E-1	-4,426849E-1	-4,318321E-1	-5,146506E-2	-1,012834E-1
2,970195E-1	1,916591E-2	-7,263124E-1	2,339903E-1	-4,426373E-1	-4,317606E-1	-5,147698E-2	-1,011284E-1
2,970195E-1	1,928512E-2	-7,262528E-1	2,340499E-1	-4,427684E-1	-4,316772E-1	-5,135777E-2	-1,012715E-1
2,970552E-1	1,941625E-2	-7,262409E-1	2,341334E-1	-4,427803E-1	-4,317606E-1	-5,136969E-2	-1,012238E-1
2,970314E-1	1,929704E-2	-7,263363E-1	2,339426E-1	-4,428041E-1	-4,319037E-1	-5,163195E-2	-1,011165E-1
2,969956E-1	1,923743E-2	-7,262290E-1	2,337757E-1	-4,428041E-1	-4,319871E-1	-5,151274E-2	-1,011761E-1
2,970195E-1	1,939241E-2	-7,262409E-1	2,336089E-1	-4,429234E-1	-4,319990E-1	-5,154850E-2	-1,012715E-1
2,969241E-1	1,946393E-2	-7,262051E-1	2,337161E-1	-4,431022E-1	-4,319037E-1	-5,146506E-2	-1,012357E-1
2,969956E-1	1,926128E-2	-7,262528E-1	2,335016E-1	-4,431737E-1	-4,317964E-1	-5,150082E-2	-1,012476E-1
2,971148E-1	1,914207E-2	-7,263720E-1	2,333704E-1	-4,429830E-1	-4,319156E-1	-5,153658E-2	-1,013072E-1
2,970433E-1	1,922551E-2	-7,263363E-1	2,335492E-1	-4,429710E-1	-4,317845E-1	-5,151274E-2	-1,012834E-1
2,971029E-1	1,932088E-2	-7,262290E-1	2,337042E-1	-4,429949E-1	-4,317487E-1	-5,142930E-2	-1,012357E-1
2,971148E-1	1,935664E-2	-7,263243E-1	2,338592E-1	-4,426730E-1	-4,318321E-1	-5,135777E-2	-1,011642E-1
2,971148E-1	1,945201E-2	-7,262766E-1	2,339188E-1	-4,426373E-1	-4,316533E-1	-5,160811E-2	-1,011999E-1
2,972221E-1	1,941625E-2	-7,262051E-1	2,340976E-1	-4,426611E-1	-4,316414E-1	-5,157235E-2	-1,012238E-1
2,971983E-1	1,944009E-2	-7,261813E-1	2,341453E-1	-4,425776E-1	-4,315341E-1	-5,146506E-2	-1,010211E-1
2,972460E-1	1,949970E-2	-7,260978E-1	2,340142E-1	-4,426969E-1	-4,313672E-1	-5,144122E-2	-1,009853E-1
2,972579E-1	1,947585E-2	-7,261455E-1	2,338711E-1	-4,427207E-1	-4,315460E-1	-5,146506E-2	-1,010688E-1
2,972221E-1	1,934472E-2	-7,261455E-1	2,338234E-1	-4,425896E-1	-4,315341E-1	-5,148890E-2	-1,011642E-1
2,971267E-1	1,940433E-2	-7,262409E-1	2,338234E-1	-4,427445E-1	-4,315580E-1	-5,151274E-2	-1,011880E-1
2,971983E-1	1,928512E-2	-7,262647E-1	2,338115E-1	-4,426015E-1	-4,316176E-1	-5,153658E-2	-1,011642E-1
2,972102E-1	1,924936E-2	-7,261574E-1	2,338711E-1	-4,426492E-1	-4,314149E-1	-5,145314E-2	-1,011403E-1
2,971506E-1	1,930896E-2	-7,261336E-1	2,339069E-1	-4,426849E-1	-4,315341E-1	-5,145314E-2	-1,011999E-1
2,971148E-1	1,921359E-2	-7,261098E-1	2,339069E-1	-4,425776E-1	-4,316056E-1	-5,140545E-2	-1,012834E-1
2,971029E-1	1,926128E-2	-7,261932E-1	2,337757E-1	-4,427326E-1	-4,315103E-1	-5,165579E-2	-1,012953E-1
2,971267E-1	1,940433E-2	-7,261813E-1	2,339307E-1	-4,429114E-1	-4,316176E-1	-5,145314E-2	-1,012238E-1
2,971387E-1	1,939241E-2	-7,261455E-1	2,338830E-1	-4,426969E-1	-4,315580E-1	-5,131009E-2	-1,010092E-1
2,972221E-1	1,948777E-2	-7,261694E-1	2,338473E-1	-4,428638E-1	-4,315937E-1	-5,140545E-2	-1,010569E-1
2,972102E-1	1,942817E-2	-7,262409E-1	2,339069E-1	-4,427684E-1	-4,316414E-1	-5,127432E-2	-1,010569E-1
2,972102E-1	1,939241E-2	-7,262051E-1	2,338711E-1	-4,427922E-1	-4,316056E-1	-5,125048E-2	-1,010211E-1
2,971267E-1	1,940433E-2	-7,261932E-1	2,339546E-1	-4,427922E-1	-4,316295E-1	-5,121472E-2	-1,010330E-1
2,971983E-1	1,946393E-2	-7,262409E-1	2,339069E-1	-4,426373E-1	-4,316652E-1	-5,123856E-2	-1,010092E-1
2,973413E-1	1,945201E-2	-7,261813E-1	2,337996E-1	-4,428876E-1	-4,315937E-1	-5,132201E-2	-1,008661E-1
2,972221E-1	1,955930E-2	-7,261694E-1	2,338354E-1	-4,429830E-1	-4,316772E-1	-5,127432E-2	-1,009615E-1
2,972102E-1	1,946393E-2	-7,260263E-1	2,336923E-1	-4,429472E-1	-4,317129E-1	-5,131009E-2	-1,010330E-1
2,971029E-1	1,935664E-2	-7,259786E-1	2,335492E-1	-4,430545E-1	-4,318321E-1	-5,136969E-2	-1,010211E-1
2,971744E-1	1,947585E-2	-7,260263E-1	2,334062E-1	-4,428280E-1	-4,318560E-1	-5,133393E-2	-1,009377E-1
2,971744E-1	1,946393E-2	-7,260382E-1	2,336208E-1	-4,427207E-1	-4,318321E-1	-5,142930E-2	-1,008542E-1
2,971506E-1	1,940433E-2	-7,260502E-1	2,337400E-1	-4,428280E-1	-4,318917E-1	-5,147698E-2	-1,008185E-1
2,971744E-1	1,939241E-2	-7,260621E-1	2,339307E-1	-4,428280E-1	-4,317845E-1	-5,140545E-2	-1,008542E-1
2,971148E-1	1,933280E-2	-7,261455E-1	2,340022E-1	-4,427684E-1	-4,318083E-1	-5,154850E-2	-1,008542E-1
2,972102E-1	1,934472E-2	-7,262409E-1	2,338830E-1	-4,428757E-1	-4,318202E-1	-5,132201E-2	-1,007469E-1
2,972221E-1	1,936857E-2	-7,261217E-1	2,339069E-1	-4,427326E-1	-4,319752E-1	-5,131009E-2	-1,008661E-1
2,971387E-1	1,936857E-2	-7,260978E-1	2,338711E-1	-4,427684E-1	-4,318321E-1	-5,141737E-2	-1,009138E-1
2,971148E-1	1,939241E-2	-7,260978E-1	2,339307E-1	-4,428280E-1	-4,317725E-1	-5,150082E-2	-1,008900E-1
2,971625E-1	1,939241E-2	-7,261813E-1	2,339903E-1	-4,430902E-1	-4,317368E-1	-5,145314E-2	-1,009019E-1
2,973294E-1	1,941625E-2	-7,260740E-1	2,338115E-1	-4,430783E-1	-4,316533E-1	-5,133393E-2	-1,009734E-1
2,972102E-1	1,935664E-2	-7,259905E-1	2,336685E-1	-4,430306E-1	-4,318202E-1	-5,138161E-2	-1,009615E-1
2,971744E-1	1,936857E-2	-7,260502E-1	2,335135E-1	-4,428280E-1	-4,317725E-1	-5,134585E-2	-1,009496E-1
2,972698E-1	1,928512E-2	-7,261813E-1	2,332989E-1	-4,427565E-1	-4,319513E-1	-5,159619E-2	-1,009615E-1
2,972460E-1	1,935664E-2	-7,262170E-1	2,334777E-1	-4,428757E-1	-4,318560E-1	-5,159619E-2	-1,010450E-1
2,971387E-1	1,921359E-2	-7,260859E-1	2,337519E-1	-4,430306E-1	-4,317725E-1	-5,150082E-2	-1,010330E-1
2,971506E-1	1,928512E-2	-7,260978E-1	2,336685E-1	-4,428638E-1	-4,317010E-1	-5,141737E-2	-1,009615E-1
2,971625E-1	1,917783E-2	-7,262528E-1	2,335969E-1	-4,426611E-1	-4,318560E-1	-5,140545E-2	-1,011284E-1
2,972102E-1	1,921359E-2	-7,263601E-1	2,337638E-1	-4,427445E-1	-4,317725E-1	-5,148890E-2	-1,011999E-1
2,971148E-1	1,921359E-2	-7,262051E-1	2,338592E-1	-4,429949E-1	-4,317368E-1	-5,146506E-2	-1,012238E-1
2,970195E-1	1,902286E-2	-7,261574E-1	2,338950E-1	-4,429830E-1	-4,318917E-1	-5,135777E-2	-1,011999E-1
2,970433E-1	1,898710E-2	-7,261574E-1	2,336685E-1	-4,428518E-1	-4,319752E-1	-5,139353E-2	-1,012595E-1
2,970791E-1	1,908246E-2	-7,261217E-1	2,335612E-1	-4,429710E-1	-4,319633E-1	-5,167964E-2	-1,012357E-1
2,970910E-1	1,915399E-2	-7,260978E-1	2,337877E-1	-4,430306E-1	-4,319156E-1	-5,156043E-2	-1,011642E-1
2,971029E-1	1,911823E-2	-7,260502E-1	2,340380E-1	-4,427088E-1	-4,317606E-1	-5,159619E-2	-1,011403E-1
2,971387E-1	1,924936E-2	-7,260382E-1	2,341930E-1	-4,424942E-1	-4,314745E-1	-5,152466E-2	-1,009853E-1
2,972579E-1	1,928512E-2	-7,261694E-1	2,340857E-1	-4,427565E-1	-4,316652E-1	-5,138161E-2	-1,009377E-1
2,971029E-1	1,916591E-2	-7,261336E-1	2,338950E-1	-4,427207E-1	-4,317129E-1	-5,135777E-2	-1,009496E-1
2,971029E-1	1,911823E-2	-7,261813E-1	2,337161E-1	-4,428041E-1	-4,317845E-1	-5,151274E-2	-1,011522E-1
2,972936E-1	1,915399E-2	-7,260859E-1	2,338592E-1	-4,424704E-1	-4,316891E-1	-5,140545E-2	-1,010330E-1
2,972579E-1	1,916591E-2	-7,259905E-1	2,341095E-1	-4,426373E-1	-4,314864E-1	-5,162003E-2	-1,009377E-1
2,971983E-1	1,914207E-2	-7,260382E-1	2,342526E-1	-4,426730E-1	-4,315580E-1	-5,156043E-2	-1,009138E-1
2,971267E-1	1,896325E-2	-7,259071E-1	2,340022E-1	-4,424346E-1	-4,315818E-1	-5,142930E-2	-1,008542E-1
2,972221E-1	1,899902E-2	-7,260144E-1	2,336804E-1	-4,424108E-1	-4,316772E-1	-5,162003E-2	-1,009853E-1
2,971267E-1	1,917783E-2	-7,260621E-1	2,335969E-1	-4,424704E-1	-4,317606E-1	-5,145314E-2	-1,008900E-1
2,972102E-1	1,921359E-2	-7,260502E-1	2,338115E-1	-4,426373E-1	-4,317487E-1	-5,152466E-2	-1,009257E-1
2,972340E-1	1,914207E-2	-7,260978E-1	2,340857E-1	-4,425657E-1	-4,316772E-1	-5,134585E-2	-1,009615E-1
2,973294E-1	1,935664E-2	-7,259786E-1	2,342168E-1	-4,426373E-1	-4,316056E-1	-5,136969E-2	-1,008542E-1
2,972698E-1	1,927320E-2	-7,260263E-1	2,342168E-1	-4,427565E-1	-4,315699E-1	-5,152466E-2	-1,008661E-1
2,972579E-1	1,923743E-2	-7,260859E-1	2,339665E-1	-4,426611E-1	-4,318083E-1	-5,146506E-2	-1,009138E-1
2,972698E-1	1,923743E-2	-7,260263E-1	2,338354E-1	-4,424465E-1	-4,317129E-1	-5,138161E-2	-1,008900E-1
2,972221E-1	1,927320E-2	-7,260978E-1	2,337519E-1	-4,425419E-1	-4,317964E-1	-5,141737E-2	-1,008661E-1
2,971864E-1	1,930896E-2	-7,261336E-1	2,340857E-1	-4,424108E-1	-4,316891E-1	-5,127432E-2	-1,007708E-1
2,973413E-1	1,923743E-2	-7,260502E-1	2,343003E-1	-4,424942E-1	-4,315460E-1	-5,135777E-2	-1,006873E-1
2,974128E-1	1,926128E-2	-7,261336E-1	2,342764E-1	-4,423392E-1	-4,315580E-1	-5,127432E-2	-1,007112E-1
2,973056E-1	1,927320E-2	-7,260382E-1	2,341095E-1	-4,424942E-1	-4,316533E-1	-5,136969E-2	-1,008065E-1
2,972221E-1	1,910630E-2	-7,261694E-1	2,337400E-1	-4,424942E-1	-4,318441E-1	-5,129817E-2	-1,008065E-1
2,972340E-1	1,920167E-2	-7,260978E-1	2,336446E-1	-4,423869E-1	-4,318321E-1	-5,129817E-2	-1,008423E-1
2,972460E-1	1,929704E-2	-7,259905E-1	2,336327E-1	-4,423988E-1	-4,318560E-1	-5,135777E-2	-1,008185E-1
2,973532E-1	1,922551E-2	-7,259548E-1	2,338354E-1	-4,424227E-1	-4,317964E-1	-5,127432E-2	-1,007589E-1
2,972936E-1	1,930896E-2	-7,260382E-1	2,340976E-1	-4,424346E-1	-4,317010E-1	-5,125048E-2	-1,006516E-1
2,973890E-1	1,932088E-2	-7,259786E-1	2,340976E-1	-4,427803E-1	-4,317368E-1	-5,126240E-2	-1,006158E-1
2,973652E-1	1,923743E-2	-7,260382E-1	2,338234E-1	-4,424584E-1	-4,317725E-1	-5,121472E-2	-1,007469E-1
2,972817E-1	1,913015E-2	-7,260382E-1	2,337519E-1	-4,424465E-1	-4,317964E-1	-5,133393E-2	-1,006516E-1
2,974009E-1	1,913015E-2	-7,260859E-1	2,338711E-1	-4,423869E-1	-4,317964E-1	-5,113127E-2	-1,007231E-1
2,973532E-1	1,923743E-2	-7,260502E-1	2,340618E-1	-4,425061E-1	-4,316891E-1	-5,116704E-2	-1,007946E-1
2,972102E-1	1,921359E-2	-7,261098E-1	2,341811E-1	-4,424346E-1	-4,316652E-1	-5,115511E-2	-1,007708E-1
2,972817E-1	1,903478E-2	-7,260502E-1	2,339426E-1	-4,423035E-1	-4,317010E-1	-5,115511E-2	-1,007708E-1
2,973056E-1	1,909438E-2	-7,259667E-1	2,337996E-1	-4,423631E-1	-4,318560E-1	-5,121472E-2	-1,007827E-1
2,973056E-1	1,915399E-2	-7,259905E-1	2,339307E-1	-4,424942E-1	-4,317725E-1	-5,127432E-2	-1,008900E-1
2,971983E-1	1,910630E-2	-7,261098E-1	2,339307E-1	-4,422915E-1	-4,319037E-1	-5,115511E-2	-1,008304E-1
2,972460E-1	1,923743E-2	-7,261932E-1	2,338234E-1	-4,420531E-1	-4,319156E-1	-5,108359E-2	-1,008065E-1
2,973771E-1	1,923743E-2	-7,262051E-1	2,339426E-1	-4,421723E-1	-4,317248E-1	-5,108359E-2	-1,007827E-1
2,972817E-1	1,923743E-2	-7,260859E-1	2,340022E-1	-4,423392E-1	-4,317487E-1	-5,111935E-2	-1,008542E-1
2,973294E-1	1,920167E-2	-7,261098E-1	2,340142E-1	-4,425538E-1	-4,317964E-1	-5,097630E-2	-1,008423E-1
2,972817E-1	1,911823E-2	-7,260502E-1	2,340142E-1	-4,426849E-1	-4,318083E-1	-5,094054E-2	-1,007827E-1
2,972579E-1	1,905862E-2	-7,261574E-1	2,338830E-1	-4,426611E-1	-4,318441E-1	-5,090477E-2	-1,007469E-1
2,973175E-1	1,909438E-2	-7,261813E-1	2,338950E-1	-4,424942E-1	-4,318679E-1	-5,102398E-2	-1,007231E-1
2,974128E-1	1,917783E-2	-7,261098E-1	2,341334E-1	-4,423988E-1	-4,317487E-1	-5,116704E-2	-1,007827E-1
2,974009E-1	1,921359E-2	-7,260144E-1	2,344433E-1	-4,426969E-1	-4,315937E-1	-5,116704E-2	-1,006873E-1
2,974367E-1	1,927320E-2	-7,260978E-1	2,343241E-1	-4,426134E-1	-4,317606E-1	-5,107167E-2	-1,005800E-1
2,973532E-1	1,928512E-2	-7,260859E-1	2,340022E-1	-4,423512E-1	-4,317487E-1	-5,111935E-2	-1,005800E-1
2,973056E-1	1,933280E-2	-7,259190E-1	2,338711E-1	-4,423988E-1	-4,318321E-1	-5,136969E-2	-1,007350E-1
2,972579E-1	1,934472E-2	-7,259309E-1	2,337400E-1	-4,425538E-1	-4,319037E-1	-5,148890E-2	-1,008185E-1
2,972579E-1	1,922551E-2	-7,261336E-1	2,336685E-1	-4,424346E-1	-4,319275E-1	-5,147698E-2	-1,007708E-1
2,974128E-1	1,908246E-2	-7,260382E-1	2,335850E-1	-4,424942E-1	-4,317606E-1	-5,154850E-2	-1,007350E-1
2,973771E-1	1,936857E-2	-7,260025E-1	2,337161E-1	-4,424108E-1	-4,316652E-1	-5,126240E-2	-1,007469E-1
2,971744E-1	1,936857E-2	-7,259548E-1	2,337638E-1	-4,423750E-1	-4,318441E-1	-5,129817E-2	-1,007231E-1
2,972102E-1	1,939241E-2	-7,260144E-1	2,336923E-1	-4,424227E-1	-4,319156E-1	-5,144122E-2	-1,007231E-1
2,972102E-1	1,929704E-2	-7,259905E-1	2,335373E-1	-4,423273E-1	-4,319633E-1	-5,140545E-2	-1,007231E-1
2,971983E-1	1,918975E-2	-7,260144E-1	2,335016E-1	-4,424227E-1	-4,319513E-1	-5,120280E-2	-1,007469E-1
2,972102E-1	1,928512E-2	-7,259548E-1	2,336089E-1	-4,424942E-1	-4,318917E-1	-5,111935E-2	-1,006277E-1
2,972698E-1	1,920167E-2	-7,260621E-1	2,339069E-1	-4,423988E-1	-4,318679E-1	-5,098822E-2	-1,005681E-1
2,974605E-1	1,941625E-2	-7,261217E-1	2,341453E-1	-4,424346E-1	-4,317725E-1	-5,117896E-2	-1,006277E-1
2,974128E-1	1,935664E-2	-7,261098E-1	2,341095E-1	-4,425300E-1	-4,318083E-1	-5,128624E-2	-1,006039E-1
2,972102E-1	1,913015E-2	-7,261574E-1	2,338950E-1	-4,425538E-1	-4,319156E-1	-5,120280E-2	-1,006992E-1
2,972936E-1	1,917783E-2	-7,261932E-1	2,338115E-1	-4,423273E-1	-4,319275E-1	-5,116704E-2	-1,006873E-1
2,974128E-1	1,915399E-2	-7,260740E-1	2,339546E-1	-4,423273E-1	-4,318083E-1	-5,136969E-2	-1,006873E-1
2,973056E-1	1,915399E-2	-7,260144E-1	2,340618E-1	-4,425896E-1	-4,317964E-1	-5,142930E-2	-1,007589E-1
2,973413E-1	1,920167E-2	-7,260859E-1	2,339665E-1	-4,424823E-1	-4,317845E-1	-5,133393E-2	-1,005920E-1
2,973532E-1	1,924936E-2	-7,260740E-1	2,338234E-1	-4,424227E-1	-4,318798E-1	-5,145314E-2	-1,006158E-1
2,972698E-1	1,928512E-2	-7,260025E-1	2,336804E-1	-4,425538E-1	-4,318560E-1	-5,158427E-2	-1,007946E-1
2,972102E-1	1,933280E-2	-7,260382E-1	2,336208E-1	-4,426492E-1	-4,317964E-1	-5,169156E-2	-1,006992E-1
2,971625E-1	1,926128E-2	-7,260740E-1	2,337400E-1	-4,423988E-1	-4,319037E-1	-5,172732E-2	-1,006516E-1
2,973771E-1	1,935664E-2	-7,260382E-1	2,339069E-1	-4,423750E-1	-4,316891E-1	-5,162003E-2	-1,006873E-1
2,973175E-1	1,944009E-2	-7,260144E-1	2,340738E-1	-4,427565E-1	-4,316533E-1	-5,164387E-2	-1,008065E-1
2,972221E-1	1,942817E-2	-7,260025E-1	2,337757E-1	-4,425776E-1	-4,317964E-1	-5,154850E-2	-1,006754E-1
2,973175E-1	1,938049E-2	-7,260740E-1	2,335731E-1	-4,425180E-1	-4,318560E-1	-5,154850E-2	-1,006635E-1
2,973532E-1	1,941625E-2	-7,262170E-1	2,335731E-1	-4,425538E-1	-4,319037E-1	-5,163195E-2	-1,008065E-1
2,972817E-1	1,947585E-2	-7,260740E-1	2,337519E-1	-4,424823E-1	-4,319275E-1	-5,154850E-2	-1,008900E-1
2,973175E-1	1,949970E-2	-7,260740E-1	2,339188E-1	-4,423988E-1	-4,318917E-1	-5,159619E-2	-1,008542E-1
2,974725E-1	1,948777E-2	-7,261217E-1	2,340499E-1	-4,422796E-1	-4,317964E-1	-5,150082E-2	-1,008304E-1
2,975201E-1	1,952354E-2	-7,260382E-1	2,341334E-1	-4,424227E-1	-4,318321E-1	-5,153658E-2	-1,008661E-1
2,973056E-1	1,949970E-2	-7,261455E-1	2,338830E-1	-4,425180E-1	-4,319990E-1	-5,148890E-2	-1,008065E-1
2,973175E-1	1,947585E-2	-7,259905E-1	2,337638E-1	-4,424346E-1	-4,319752E-1	-5,162003E-2	-1,007708E-1
2,973175E-1	1,946393E-2	-7,261217E-1	2,336923E-1	-4,426492E-1	-4,319871E-1	-5,158427E-2	-1,007708E-1
2,973056E-1	1,949970E-2	-7,261932E-1	2,337519E-1	-4,427326E-1	-4,319633E-1	-5,147698E-2	-1,007231E-1
2,973890E-1	1,945201E-2	-7,260502E-1	2,340380E-1	-4,428161E-1	-4,318560E-1	-5,157235E-2	-1,006873E-1
2,974367E-1	1,948777E-2	-7,261694E-1	2,341453E-1	-4,426373E-1	-4,318321E-1	-5,125048E-2	-1,006992E-1
2,974844E-1	1,948777E-2	-7,261336E-1	2,342168E-1	-4,424346E-1	-4,317487E-1	-5,119088E-2	-1,006516E-1
2,974009E-1	1,958314E-2	-7,261813E-1	2,339546E-1	-4,425896E-1	-4,318798E-1	-5,123856E-2	-1,007946E-1
2,973890E-1	1,941625E-2	-7,261336E-1	2,338354E-1	-4,422677E-1	-4,318917E-1	-5,119088E-2	-1,006754E-1
2,974605E-1	1,945201E-2	-7,260978E-1	2,337757E-1	-4,421962E-1	-4,318917E-1	-5,129817E-2	-1,006635E-1
2,974248E-1	1,955930E-2	-7,261217E-1	2,338115E-1	-4,422796E-1	-4,317964E-1	-5,129817E-2	-1,007946E-1
2,975082E-1	1,959506E-2	-7,261217E-1	2,339426E-1	-4,422081E-1	-4,317964E-1	-5,120280E-2	-1,007112E-1
2,973890E-1	1,947585E-2	-7,261217E-1	2,339546E-1	-4,422796E-1	-4,317487E-1	-5,135777E-2	-1,006158E-1
2,974128E-1	1,951162E-2	-7,261574E-1	2,338115E-1	-4,423631E-1	-4,317845E-1	-5,136969E-2	-1,007589E-1
2,973890E-1	1,957122E-2	-7,261455E-1	2,337161E-1	-4,424823E-1	-4,317725E-1	-5,114319E-2	-1,006992E-1
2,973890E-1	1,953546E-2	-7,261813E-1	2,336923E-1	-4,424108E-1	-4,317487E-1	-5,111935E-2	-1,007112E-1
2,974486E-1	1,955930E-2	-7,261217E-1	2,338354E-1	-4,423869E-1	-4,317129E-1	-5,117896E-2	-1,006516E-1
2,974844E-1	1,945201E-2	-7,261336E-1	2,338830E-1	-4,423869E-1	-4,317964E-1	-5,122664E-2	-1,004608E-1
2,974844E-1	1,949970E-2	-7,261217E-1	2,338592E-1	-4,422200E-1	-4,317964E-1	-5,103590E-2	-1,005800E-1
2,975082E-1	1,946393E-2	-7,261098E-1	2,336685E-1	-4,421843E-1	-4,318441E-1	-5,109551E-2	-1,006039E-1
2,975082E-1	1,944009E-2	-7,261694E-1	2,336208E-1	-4,425180E-1	-4,317487E-1	-5,128624E-2	-1,006158E-1
2,975201E-1	1,951162E-2	-7,260978E-1	2,337757E-1	-4,424227E-1	-4,317964E-1	-5,113127E-2	-1,006635E-1
2,975321E-1	1,939241E-2	-7,260859E-1	2,337638E-1	-4,423392E-1	-4,318321E-1	-5,111935E-2	-1,006754E-1
2,974725E-1	1,939241E-2	-7,260621E-1	2,337638E-1	-4,425180E-1	-4,316891E-1	-5,138161E-2	-1,006158E-1
2,974605E-1	1,941625E-2	-7,261932E-1	2,337281E-1	-4,424704E-1	-4,317964E-1	-5,123856E-2	-1,005920E-1
2,974725E-1	1,940433E-2	-7,261336E-1	2,337519E-1	-4,424584E-1	-4,317964E-1	-5,132201E-2	-1,006992E-1
2,975559E-1	1,945201E-2	-7,259905E-1	2,337281E-1	-4,424108E-1	-4,316652E-1	-5,139353E-2	-1,006873E-1
2,974248E-1	1,947585E-2	-7,260859E-1	2,336685E-1	-4,422558E-1	-4,317487E-1	-5,127432E-2	-1,006277E-1
2,974725E-1	1,951162E-2	-7,261574E-1	2,337161E-1	-4,423273E-1	-4,317606E-1	-5,122664E-2	-1,006635E-1
2,975678E-1	1,949970E-2	-7,261217E-1	2,338234E-1	-4,422319E-1	-4,315937E-1	-5,122664E-2	-1,006516E-1
2,975440E-1	1,948777E-2	-7,261455E-1	2,339069E-1	-4,421008E-1	-4,316891E-1	-5,125048E-2	-1,007589E-1
2,976036E-1	1,941625E-2	-7,260740E-1	2,340022E-1	-4,423750E-1	-4,317487E-1	-5,144122E-2	-1,006635E-1
2,974605E-1	1,938049E-2	-7,260740E-1	2,339426E-1	-4,424584E-1	-4,317725E-1	-5,142930E-2	-1,007350E-1
2,975201E-1	1,946393E-2	-7,260740E-1	2,338234E-1	-4,424346E-1	-4,317964E-1	-5,140545E-2	-1,007827E-1
2,975917E-1	1,954738E-2	-7,260263E-1	2,337400E-1	-4,424465E-1	-4,317845E-1	-5,150082E-2	-1,008185E-1
2,974605E-1	1,945201E-2	-7,260502E-1	2,337281E-1	-4,426015E-1	-4,318202E-1	-5,146506E-2	-1,007827E-1
2,975201E-1	1,955930E-2	-7,260025E-1	2,337996E-1	-4,426849E-1	-4,318083E-1	-5,145314E-2	-1,007946E-1
2,975797E-1	1,954738E-2	-7,259905E-1	2,337400E-1	-4,427803E-1	-4,317725E-1	-5,121472E-2	-1,009257E-1
2,975440E-1	1,953546E-2	-7,259905E-1	2,337281E-1	-4,425776E-1	-4,317845E-1	-5,136969E-2	-1,007827E-1
2,974963E-1	1,954738E-2	-7,260025E-1	2,336089E-1	-4,424346E-1	-4,318083E-1	-5,153658E-2	-1,007708E-1
2,975321E-1	1,952354E-2	-7,260740E-1	2,337519E-1	-4,422319E-1	-4,318679E-1	-5,148890E-2	-1,008304E-1
2,976513E-1	1,955930E-2	-7,261217E-1	2,339307E-1	-4,422081E-1	-4,317606E-1	-5,135777E-2	-1,010330E-1
2,975559E-1	1,952354E-2	-7,261574E-1	2,339307E-1	-4,423750E-1	-4,317487E-1	-5,122664E-2	-1,008542E-1
2,976155E-1	1,954738E-2	-7,260978E-1	2,338473E-1	-4,423154E-1	-4,318321E-1	-5,135777E-2	-1,008185E-1
2,976036E-1	1,949970E-2	-7,261217E-1	2,337161E-1	-4,421843E-1	-4,318083E-1	-5,136969E-2	-1,007946E-1
2,976632E-1	1,935664E-2	-7,260502E-1	2,337281E-1	-4,423750E-1	-4,318679E-1	-5,127432E-2	-1,008661E-1
2,975321E-1	1,939241E-2	-7,260978E-1	2,337638E-1	-4,422558E-1	-4,318560E-1	-5,126240E-2	-1,009138E-1
2,976155E-1	1,949970E-2	-7,259905E-1	2,337757E-1	-4,423631E-1	-4,316891E-1	-5,139353E-2	-1,007827E-1
2,975321E-1	1,940433E-2	-7,260144E-1	2,337519E-1	-4,423154E-1	-4,318321E-1	-5,145314E-2	-1,008304E-1
2,975321E-1	1,944009E-2	-7,260263E-1	2,337757E-1	-4,424227E-1	-4,318083E-1	-5,129817E-2	-1,007350E-1
2,974963E-1	1,951162E-2	-7,260025E-1	2,337996E-1	-4,426373E-1	-4,317368E-1	-5,147698E-2	-1,007708E-1
