channel names:							
011_290_290_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	011_290_290_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	011_290_290_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	011_290_290_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	011_290_290_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	011_290_290_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	011_290_290_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	011_290_290_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310
dt:							
0,020000							
data:							
2,904510E-1	1,176301E-2	-7,324517E-1	2,311651E-1	-3,891004E-1	-5,162442E-1	-8,095744E-2	-9,941179E-2
2,904153E-1	1,167957E-2	-7,323563E-1	2,309505E-1	-3,889454E-1	-5,163634E-1	-8,118393E-2	-9,936410E-2
2,904510E-1	1,169149E-2	-7,323325E-1	2,311055E-1	-3,890169E-1	-5,163754E-1	-8,129122E-2	-9,945947E-2
2,904391E-1	1,173917E-2	-7,323206E-1	2,312247E-1	-3,890169E-1	-5,162562E-1	-8,108857E-2	-9,936410E-2
2,905226E-1	1,173917E-2	-7,321894E-1	2,314512E-1	-3,888500E-1	-5,161131E-1	-8,113625E-2	-9,929258E-2
2,904272E-1	1,179878E-2	-7,322252E-1	2,312008E-1	-3,890169E-1	-5,161369E-1	-8,105280E-2	-9,928066E-2
2,904272E-1	1,158420E-2	-7,322610E-1	2,309862E-1	-3,887904E-1	-5,163634E-1	-8,102896E-2	-9,932834E-2
2,904391E-1	1,163188E-2	-7,321537E-1	2,309624E-1	-3,888381E-1	-5,164111E-1	-8,113625E-2	-9,929258E-2
2,904391E-1	1,163188E-2	-7,322371E-1	2,308670E-1	-3,889454E-1	-5,163992E-1	-8,102896E-2	-9,934026E-2
2,905464E-1	1,157228E-2	-7,322133E-1	2,308790E-1	-3,888977E-1	-5,162919E-1	-8,107665E-2	-9,926873E-2
2,904272E-1	1,158420E-2	-7,323444E-1	2,311293E-1	-3,888023E-1	-5,162562E-1	-8,087399E-2	-9,913760E-2
2,904629E-1	1,161996E-2	-7,322490E-1	2,309743E-1	-3,888858E-1	-5,162800E-1	-8,110049E-2	-9,926873E-2
2,904510E-1	1,159612E-2	-7,322371E-1	2,308790E-1	-3,889335E-1	-5,165065E-1	-8,147004E-2	-9,943563E-2
2,903676E-1	1,157228E-2	-7,323802E-1	2,309028E-1	-3,887308E-1	-5,164230E-1	-8,102896E-2	-9,945947E-2
2,903914E-1	1,165572E-2	-7,323206E-1	2,310220E-1	-3,889096E-1	-5,163873E-1	-8,112433E-2	-9,937602E-2
2,904272E-1	1,170341E-2	-7,323444E-1	2,310935E-1	-3,889573E-1	-5,162085E-1	-8,132699E-2	-9,939986E-2
2,903914E-1	1,156036E-2	-7,323086E-1	2,312366E-1	-3,888739E-1	-5,162562E-1	-8,105280E-2	-9,947139E-2
2,903795E-1	1,159612E-2	-7,323444E-1	2,312843E-1	-3,887427E-1	-5,163634E-1	-8,110049E-2	-9,947139E-2
2,903795E-1	1,153651E-2	-7,321894E-1	2,310935E-1	-3,888619E-1	-5,163634E-1	-8,137467E-2	-9,937602E-2
2,904629E-1	1,152459E-2	-7,322371E-1	2,310459E-1	-3,888262E-1	-5,164469E-1	-8,112433E-2	-9,925681E-2
2,903437E-1	1,166764E-2	-7,323802E-1	2,310578E-1	-3,889454E-1	-5,162800E-1	-8,106472E-2	-9,929258E-2
2,903795E-1	1,157228E-2	-7,323086E-1	2,310578E-1	-3,888381E-1	-5,162919E-1	-8,108857E-2	-9,914953E-2
2,905941E-1	1,171533E-2	-7,322848E-1	2,312008E-1	-3,888619E-1	-5,163634E-1	-8,112433E-2	-9,919721E-2
2,904987E-1	1,166764E-2	-7,322967E-1	2,312366E-1	-3,888619E-1	-5,162919E-1	-8,117201E-2	-9,928066E-2
2,903437E-1	1,156036E-2	-7,321656E-1	2,310816E-1	-3,886593E-1	-5,162800E-1	-8,110049E-2	-9,917337E-2
2,903199E-1	1,156036E-2	-7,322133E-1	2,308790E-1	-3,887070E-1	-5,164588E-1	-8,102896E-2	-9,928066E-2
2,903795E-1	1,145307E-2	-7,322848E-1	2,309266E-1	-3,888143E-1	-5,164588E-1	-8,104088E-2	-9,938794E-2
2,904749E-1	1,156036E-2	-7,321894E-1	2,310459E-1	-3,888023E-1	-5,163634E-1	-8,129122E-2	-9,935218E-2
2,905464E-1	1,159612E-2	-7,322252E-1	2,310816E-1	-3,889215E-1	-5,163634E-1	-8,130314E-2	-9,923297E-2
2,904510E-1	1,166764E-2	-7,322252E-1	2,310935E-1	-3,889573E-1	-5,163396E-1	-8,100512E-2	-9,916145E-2
2,904153E-1	1,159612E-2	-7,323444E-1	2,308074E-1	-3,887785E-1	-5,164707E-1	-8,096936E-2	-9,922105E-2
2,903795E-1	1,153651E-2	-7,323086E-1	2,306405E-1	-3,885878E-1	-5,165899E-1	-8,118393E-2	-9,930450E-2
2,904153E-1	1,161996E-2	-7,323444E-1	2,308074E-1	-3,884924E-1	-5,165303E-1	-8,112433E-2	-9,931642E-2
2,904033E-1	1,167957E-2	-7,323563E-1	2,311293E-1	-3,886116E-1	-5,163992E-1	-8,112433E-2	-9,924489E-2
2,904510E-1	1,167957E-2	-7,322252E-1	2,312843E-1	-3,888858E-1	-5,162562E-1	-8,110049E-2	-9,916145E-2
2,904391E-1	1,164380E-2	-7,323921E-1	2,312247E-1	-3,887785E-1	-5,163158E-1	-8,096936E-2	-9,911376E-2
2,903557E-1	1,171533E-2	-7,323682E-1	2,310220E-1	-3,887666E-1	-5,164111E-1	-8,114817E-2	-9,926873E-2
2,902484E-1	1,165572E-2	-7,323921E-1	2,308670E-1	-3,886712E-1	-5,166138E-1	-8,133891E-2	-9,936410E-2
2,902961E-1	1,159612E-2	-7,324040E-1	2,308551E-1	-3,885639E-1	-5,165780E-1	-8,125546E-2	-9,963828E-2
2,903080E-1	1,161996E-2	-7,324159E-1	2,309862E-1	-3,884686E-1	-5,166138E-1	-8,107665E-2	-9,944755E-2
2,904272E-1	1,175109E-2	-7,323444E-1	2,314750E-1	-3,883851E-1	-5,162919E-1	-8,082631E-2	-9,923297E-2
2,905345E-1	1,187030E-2	-7,322371E-1	2,315823E-1	-3,887070E-1	-5,161369E-1	-8,085015E-2	-9,913760E-2
2,905106E-1	1,183454E-2	-7,322013E-1	2,315346E-1	-3,886950E-1	-5,160535E-1	-8,093359E-2	-9,911376E-2
2,904868E-1	1,173917E-2	-7,321298E-1	2,312962E-1	-3,885758E-1	-5,161965E-1	-8,095744E-2	-9,913760E-2
2,904629E-1	1,165572E-2	-7,323086E-1	2,307717E-1	-3,888143E-1	-5,163754E-1	-8,102896E-2	-9,919721E-2
2,905106E-1	1,167957E-2	-7,321775E-1	2,307001E-1	-3,886474E-1	-5,163754E-1	-8,102896E-2	-9,912568E-2
2,906060E-1	1,173917E-2	-7,322252E-1	2,309743E-1	-3,887308E-1	-5,162085E-1	-8,089783E-2	-9,908992E-2
2,905464E-1	1,191798E-2	-7,323086E-1	2,310459E-1	-3,889335E-1	-5,160416E-1	-8,098128E-2	-9,913760E-2
2,906537E-1	1,187030E-2	-7,320702E-1	2,311889E-1	-3,888739E-1	-5,159939E-1	-8,101704E-2	-9,913760E-2
2,905822E-1	1,190606E-2	-7,322848E-1	2,310339E-1	-3,887427E-1	-5,160416E-1	-8,096936E-2	-9,905416E-2
2,905464E-1	1,190606E-2	-7,322252E-1	2,308790E-1	-3,885162E-1	-5,162085E-1	-8,104088E-2	-9,917337E-2
2,904391E-1	1,182262E-2	-7,321775E-1	2,309028E-1	-3,885282E-1	-5,163158E-1	-8,106472E-2	-9,934026E-2
2,905226E-1	1,185838E-2	-7,322133E-1	2,309862E-1	-3,886354E-1	-5,162204E-1	-8,100512E-2	-9,945947E-2
2,905464E-1	1,191798E-2	-7,322252E-1	2,312724E-1	-3,885401E-1	-5,161250E-1	-8,095744E-2	-9,934026E-2
2,904987E-1	1,172725E-2	-7,323563E-1	2,311412E-1	-3,884805E-1	-5,161727E-1	-8,076670E-2	-9,917337E-2
2,904391E-1	1,184646E-2	-7,323086E-1	2,310816E-1	-3,885401E-1	-5,162442E-1	-8,079054E-2	-9,923297E-2
2,904272E-1	1,172725E-2	-7,323206E-1	2,311412E-1	-3,887427E-1	-5,162204E-1	-8,121970E-2	-9,938794E-2
2,904272E-1	1,171533E-2	-7,324040E-1	2,313439E-1	-3,890408E-1	-5,161846E-1	-8,104088E-2	-9,929258E-2
2,904987E-1	1,166764E-2	-7,323086E-1	2,315465E-1	-3,890408E-1	-5,161727E-1	-8,074286E-2	-9,917337E-2
2,904033E-1	1,172725E-2	-7,323206E-1	2,313677E-1	-3,890884E-1	-5,161727E-1	-8,068326E-2	-9,916145E-2
2,903676E-1	1,181070E-2	-7,322729E-1	2,310935E-1	-3,889335E-1	-5,163515E-1	-8,063557E-2	-9,914953E-2
2,903199E-1	1,172725E-2	-7,323325E-1	2,308909E-1	-3,886831E-1	-5,163992E-1	-8,092167E-2	-9,929258E-2
2,903199E-1	1,181070E-2	-7,322967E-1	2,308909E-1	-3,886831E-1	-5,163754E-1	-8,098128E-2	-9,942371E-2
2,903676E-1	1,176301E-2	-7,322967E-1	2,310101E-1	-3,885758E-1	-5,163396E-1	-8,095744E-2	-9,936410E-2
2,902722E-1	1,175109E-2	-7,324398E-1	2,311412E-1	-3,887427E-1	-5,162204E-1	-8,068326E-2	-9,935218E-2
2,903676E-1	1,171533E-2	-7,323682E-1	2,309743E-1	-3,887785E-1	-5,164111E-1	-8,129122E-2	-9,950715E-2
2,902484E-1	1,169149E-2	-7,322610E-1	2,308194E-1	-3,885878E-1	-5,165423E-1	-8,147004E-2	-9,965020E-2
2,902841E-1	1,164380E-2	-7,323682E-1	2,307717E-1	-3,885043E-1	-5,164588E-1	-8,113625E-2	-9,947139E-2
2,901530E-1	1,169149E-2	-7,322848E-1	2,307359E-1	-3,886831E-1	-5,164588E-1	-8,132699E-2	-9,941179E-2
2,902841E-1	1,179878E-2	-7,322013E-1	2,308551E-1	-3,886235E-1	-5,161489E-1	-8,117201E-2	-9,922105E-2
2,904272E-1	1,179878E-2	-7,322729E-1	2,311293E-1	-3,886950E-1	-5,159701E-1	-8,075478E-2	-9,919721E-2
2,903557E-1	1,183454E-2	-7,322967E-1	2,312485E-1	-3,886712E-1	-5,159939E-1	-8,093359E-2	-9,917337E-2
2,903199E-1	1,170341E-2	-7,322371E-1	2,310101E-1	-3,885162E-1	-5,160058E-1	-8,108857E-2	-9,914953E-2
2,903914E-1	1,165572E-2	-7,322252E-1	2,308551E-1	-3,885997E-1	-5,162204E-1	-8,085015E-2	-9,935218E-2
2,902603E-1	1,163188E-2	-7,321775E-1	2,307836E-1	-3,884686E-1	-5,162681E-1	-8,070710E-2	-9,934026E-2
2,900934E-1	1,161996E-2	-7,322371E-1	2,307598E-1	-3,885043E-1	-5,163634E-1	-8,080246E-2	-9,928066E-2
2,902603E-1	1,156036E-2	-7,323206E-1	2,309386E-1	-3,883493E-1	-5,163277E-1	-8,085015E-2	-9,926873E-2
2,904033E-1	1,161996E-2	-7,322848E-1	2,310697E-1	-3,886474E-1	-5,163158E-1	-8,093359E-2	-9,932834E-2
2,903318E-1	1,165572E-2	-7,322729E-1	2,312604E-1	-3,886235E-1	-5,161727E-1	-8,087399E-2	-9,929258E-2
2,902961E-1	1,156036E-2	-7,322133E-1	2,312008E-1	-3,885758E-1	-5,162562E-1	-8,096936E-2	-9,925681E-2
2,902007E-1	1,158420E-2	-7,323802E-1	2,309028E-1	-3,886354E-1	-5,164350E-1	-8,096936E-2	-9,930450E-2
2,902126E-1	1,151267E-2	-7,322967E-1	2,309743E-1	-3,883851E-1	-5,163038E-1	-8,100512E-2	-9,938794E-2
2,902603E-1	1,159612E-2	-7,322848E-1	2,308551E-1	-3,885282E-1	-5,163158E-1	-8,102896E-2	-9,944755E-2
2,902603E-1	1,161996E-2	-7,322848E-1	2,311055E-1	-3,884089E-1	-5,162442E-1	-8,105280E-2	-9,932834E-2
2,904749E-1	1,176301E-2	-7,322133E-1	2,312962E-1	-3,885520E-1	-5,160654E-1	-8,093359E-2	-9,922105E-2
2,904153E-1	1,173917E-2	-7,321417E-1	2,312366E-1	-3,887547E-1	-5,161250E-1	-8,082631E-2	-9,919721E-2
2,903318E-1	1,165572E-2	-7,322490E-1	2,309147E-1	-3,887547E-1	-5,162323E-1	-8,087399E-2	-9,925681E-2
2,902961E-1	1,158420E-2	-7,323802E-1	2,306405E-1	-3,886474E-1	-5,164588E-1	-8,105280E-2	-9,936410E-2
2,902961E-1	1,164380E-2	-7,323086E-1	2,307121E-1	-3,886950E-1	-5,165303E-1	-8,110049E-2	-9,945947E-2
2,903914E-1	1,165572E-2	-7,323682E-1	2,309147E-1	-3,888619E-1	-5,165661E-1	-8,101704E-2	-9,943563E-2
2,903437E-1	1,161996E-2	-7,322371E-1	2,312485E-1	-3,888023E-1	-5,162800E-1	-8,076670E-2	-9,919721E-2
2,903557E-1	1,165572E-2	-7,322133E-1	2,309743E-1	-3,887666E-1	-5,161369E-1	-8,076670E-2	-9,916145E-2
2,903437E-1	1,167957E-2	-7,322252E-1	2,307121E-1	-3,885043E-1	-5,164230E-1	-8,092167E-2	-9,923297E-2
2,904153E-1	1,152459E-2	-7,322371E-1	2,307717E-1	-3,882301E-1	-5,162681E-1	-8,073094E-2	-9,905416E-2
2,902245E-1	1,151267E-2	-7,322490E-1	2,306525E-1	-3,883374E-1	-5,162442E-1	-8,092167E-2	-9,913760E-2
2,904153E-1	1,169149E-2	-7,321537E-1	2,308074E-1	-3,881348E-1	-5,161369E-1	-8,079054E-2	-9,901839E-2
2,905345E-1	1,161996E-2	-7,322013E-1	2,312127E-1	-3,881586E-1	-5,160416E-1	-8,067133E-2	-9,907800E-2
2,904153E-1	1,164380E-2	-7,322729E-1	2,312247E-1	-3,884328E-1	-5,160058E-1	-8,089783E-2	-9,912568E-2
2,903318E-1	1,166764E-2	-7,322371E-1	2,309505E-1	-3,883732E-1	-5,161727E-1	-8,093359E-2	-9,914953E-2
2,903557E-1	1,167957E-2	-7,322729E-1	2,307240E-1	-3,883970E-1	-5,162323E-1	-8,083823E-2	-9,918529E-2
2,904153E-1	1,169149E-2	-7,323682E-1	2,307359E-1	-3,885043E-1	-5,162204E-1	-8,088591E-2	-9,920913E-2
2,904033E-1	1,169149E-2	-7,323206E-1	2,308909E-1	-3,883732E-1	-5,161727E-1	-8,088591E-2	-9,914953E-2
2,904033E-1	1,178685E-2	-7,322133E-1	2,309266E-1	-3,885043E-1	-5,161489E-1	-8,099320E-2	-9,928066E-2
2,903557E-1	1,183454E-2	-7,323563E-1	2,307955E-1	-3,885639E-1	-5,162681E-1	-8,104088E-2	-9,928066E-2
2,904510E-1	1,165572E-2	-7,322729E-1	2,308313E-1	-3,882778E-1	-5,163038E-1	-8,104088E-2	-9,913760E-2
2,903199E-1	1,173917E-2	-7,323921E-1	2,307598E-1	-3,883851E-1	-5,162085E-1	-8,102896E-2	-9,925681E-2
2,904153E-1	1,177493E-2	-7,323325E-1	2,309386E-1	-3,883732E-1	-5,161131E-1	-8,116009E-2	-9,920913E-2
2,904868E-1	1,185838E-2	-7,323206E-1	2,312008E-1	-3,884924E-1	-5,160773E-1	-8,105280E-2	-9,912568E-2
2,904510E-1	1,185838E-2	-7,323921E-1	2,310697E-1	-3,885997E-1	-5,159581E-1	-8,106472E-2	-9,918529E-2
2,904391E-1	1,166764E-2	-7,323682E-1	2,310101E-1	-3,884209E-1	-5,160893E-1	-8,124354E-2	-9,922105E-2
2,902722E-1	1,163188E-2	-7,324398E-1	2,307240E-1	-3,884328E-1	-5,162442E-1	-8,121970E-2	-9,931642E-2
2,903557E-1	1,171533E-2	-7,324159E-1	2,306763E-1	-3,882540E-1	-5,163158E-1	-8,138659E-2	-9,934026E-2
2,904033E-1	1,151267E-2	-7,324875E-1	2,307240E-1	-3,882063E-1	-5,162204E-1	-8,125546E-2	-9,931642E-2
2,904272E-1	1,170341E-2	-7,324278E-1	2,309862E-1	-3,883851E-1	-5,161131E-1	-8,096936E-2	-9,906608E-2
2,905106E-1	1,175109E-2	-7,324159E-1	2,310339E-1	-3,882540E-1	-5,160177E-1	-8,112433E-2	-9,911376E-2
2,905226E-1	1,170341E-2	-7,323921E-1	2,310697E-1	-3,882421E-1	-5,161846E-1	-8,114817E-2	-9,923297E-2
2,903557E-1	1,171533E-2	-7,324040E-1	2,307955E-1	-3,882301E-1	-5,162919E-1	-8,090975E-2	-9,914953E-2
2,902841E-1	1,170341E-2	-7,324159E-1	2,305571E-1	-3,883851E-1	-5,163634E-1	-8,121970E-2	-9,920913E-2
2,902841E-1	1,169149E-2	-7,324398E-1	2,306048E-1	-3,883851E-1	-5,162919E-1	-8,133891E-2	-9,926873E-2
2,904510E-1	1,171533E-2	-7,323444E-1	2,309743E-1	-3,885282E-1	-5,161846E-1	-8,108857E-2	-9,923297E-2
2,904153E-1	1,181070E-2	-7,323802E-1	2,310816E-1	-3,885043E-1	-5,160893E-1	-8,118393E-2	-9,932834E-2
2,903199E-1	1,176301E-2	-7,323563E-1	2,310101E-1	-3,883732E-1	-5,161489E-1	-8,119586E-2	-9,916145E-2
2,903557E-1	1,175109E-2	-7,324755E-1	2,307717E-1	-3,883136E-1	-5,162562E-1	-8,110049E-2	-9,918529E-2
2,902722E-1	1,170341E-2	-7,325590E-1	2,304379E-1	-3,883851E-1	-5,163873E-1	-8,121970E-2	-9,936410E-2
2,902007E-1	1,163188E-2	-7,323921E-1	2,304379E-1	-3,883374E-1	-5,163992E-1	-8,147004E-2	-9,936410E-2
2,902245E-1	1,177493E-2	-7,324159E-1	2,307001E-1	-3,882778E-1	-5,162800E-1	-8,133891E-2	-9,925681E-2
2,902841E-1	1,173917E-2	-7,325828E-1	2,306882E-1	-3,883017E-1	-5,162323E-1	-8,114817E-2	-9,929258E-2
2,902007E-1	1,176301E-2	-7,325709E-1	2,306882E-1	-3,883017E-1	-5,163754E-1	-8,092167E-2	-9,918529E-2
2,902007E-1	1,165572E-2	-7,324875E-1	2,307598E-1	-3,884328E-1	-5,164111E-1	-8,119586E-2	-9,926873E-2
2,902007E-1	1,157228E-2	-7,325351E-1	2,305333E-1	-3,885282E-1	-5,164350E-1	-8,139851E-2	-9,938794E-2
2,902126E-1	1,150075E-2	-7,325828E-1	2,307121E-1	-3,882540E-1	-5,165065E-1	-8,108857E-2	-9,916145E-2
2,902245E-1	1,157228E-2	-7,326305E-1	2,307478E-1	-3,885043E-1	-5,164111E-1	-8,106472E-2	-9,924489E-2
2,902603E-1	1,157228E-2	-7,325947E-1	2,307001E-1	-3,885162E-1	-5,163992E-1	-8,138659E-2	-9,917337E-2
2,902841E-1	1,157228E-2	-7,324994E-1	2,308432E-1	-3,884924E-1	-5,163277E-1	-8,155348E-2	-9,914953E-2
2,902961E-1	1,165572E-2	-7,326305E-1	2,308313E-1	-3,887189E-1	-5,163158E-1	-8,127930E-2	-9,920913E-2
2,903080E-1	1,158420E-2	-7,324875E-1	2,307121E-1	-3,885997E-1	-5,163754E-1	-8,131506E-2	-9,919721E-2
2,902961E-1	1,158420E-2	-7,325828E-1	2,304736E-1	-3,885639E-1	-5,163634E-1	-8,130314E-2	-9,924489E-2
2,901649E-1	1,154844E-2	-7,326067E-1	2,302352E-1	-3,885639E-1	-5,165780E-1	-8,141043E-2	-9,938794E-2
2,901768E-1	1,156036E-2	-7,324875E-1	2,302591E-1	-3,885878E-1	-5,166019E-1	-8,163693E-2	-9,945947E-2
2,903080E-1	1,171533E-2	-7,326305E-1	2,304975E-1	-3,885043E-1	-5,164350E-1	-8,164885E-2	-9,939986E-2
2,903914E-1	1,152459E-2	-7,326305E-1	2,308194E-1	-3,885878E-1	-5,162681E-1	-8,167269E-2	-9,929258E-2
2,903080E-1	1,160804E-2	-7,325828E-1	2,311293E-1	-3,884924E-1	-5,161965E-1	-8,138659E-2	-9,917337E-2
2,902961E-1	1,167957E-2	-7,325232E-1	2,309982E-1	-3,885639E-1	-5,163634E-1	-8,135083E-2	-9,919721E-2
2,903557E-1	1,158420E-2	-7,326186E-1	2,308074E-1	-3,884805E-1	-5,164827E-1	-8,138659E-2	-9,935218E-2
2,903437E-1	1,154844E-2	-7,325590E-1	2,306644E-1	-3,884209E-1	-5,164827E-1	-8,179190E-2	-9,934026E-2
2,902126E-1	1,167957E-2	-7,325232E-1	2,307240E-1	-3,885043E-1	-5,164350E-1	-8,152964E-2	-9,943563E-2
2,902961E-1	1,182262E-2	-7,325471E-1	2,309147E-1	-3,882659E-1	-5,163396E-1	-8,136275E-2	-9,936410E-2
2,903557E-1	1,179878E-2	-7,324994E-1	2,310578E-1	-3,882421E-1	-5,162800E-1	-8,149388E-2	-9,920913E-2
2,902603E-1	1,165572E-2	-7,324875E-1	2,309386E-1	-3,883017E-1	-5,162919E-1	-8,137467E-2	-9,930450E-2
2,902841E-1	1,164380E-2	-7,324636E-1	2,307001E-1	-3,884566E-1	-5,164111E-1	-8,176806E-2	-9,936410E-2
2,901768E-1	1,159612E-2	-7,324517E-1	2,304260E-1	-3,885758E-1	-5,165303E-1	-8,157732E-2	-9,942371E-2
2,901530E-1	1,156036E-2	-7,323921E-1	2,303544E-1	-3,885043E-1	-5,164707E-1	-8,160117E-2	-9,932834E-2
2,902245E-1	1,154844E-2	-7,325828E-1	2,305929E-1	-3,886831E-1	-5,164230E-1	-8,150580E-2	-9,935218E-2
2,903557E-1	1,161996E-2	-7,324159E-1	2,308790E-1	-3,885878E-1	-5,162442E-1	-8,141043E-2	-9,923297E-2
2,903676E-1	1,166764E-2	-7,323563E-1	2,311531E-1	-3,885997E-1	-5,161727E-1	-8,144619E-2	-9,924489E-2
2,903676E-1	1,157228E-2	-7,324875E-1	2,310935E-1	-3,885878E-1	-5,160773E-1	-8,113625E-2	-9,925681E-2
2,902961E-1	1,150075E-2	-7,324040E-1	2,306525E-1	-3,885401E-1	-5,162919E-1	-8,127930E-2	-9,924489E-2
2,902007E-1	1,152459E-2	-7,325113E-1	2,303187E-1	-3,884328E-1	-5,165065E-1	-8,129122E-2	-9,928066E-2
2,903199E-1	1,152459E-2	-7,324278E-1	2,306405E-1	-3,882778E-1	-5,163754E-1	-8,113625E-2	-9,930450E-2
2,905226E-1	1,164380E-2	-7,323802E-1	2,311531E-1	-3,886116E-1	-5,162085E-1	-8,126738E-2	-9,918529E-2
2,904629E-1	1,169149E-2	-7,324159E-1	2,312247E-1	-3,886950E-1	-5,161012E-1	-8,101704E-2	-9,906608E-2
2,903914E-1	1,153651E-2	-7,323802E-1	2,311174E-1	-3,884686E-1	-5,161012E-1	-8,083823E-2	-9,895879E-2
2,903676E-1	1,139346E-2	-7,324517E-1	2,307836E-1	-3,883255E-1	-5,162800E-1	-8,095744E-2	-9,911376E-2
2,902841E-1	1,144115E-2	-7,324755E-1	2,305213E-1	-3,881705E-1	-5,164350E-1	-8,125546E-2	-9,926873E-2
2,902841E-1	1,158420E-2	-7,324636E-1	2,306405E-1	-3,881824E-1	-5,163634E-1	-8,121970E-2	-9,932834E-2
2,903557E-1	1,160804E-2	-7,324875E-1	2,311889E-1	-3,878725E-1	-5,161489E-1	-8,087399E-2	-9,904224E-2
2,905345E-1	1,169149E-2	-7,324636E-1	2,314035E-1	-3,883374E-1	-5,159820E-1	-8,108857E-2	-9,911376E-2
2,905226E-1	1,172725E-2	-7,323921E-1	2,313200E-1	-3,885878E-1	-5,160773E-1	-8,106472E-2	-9,916145E-2
2,904033E-1	1,157228E-2	-7,323802E-1	2,309266E-1	-3,886235E-1	-5,162323E-1	-8,123162E-2	-9,923297E-2
2,902364E-1	1,136962E-2	-7,324875E-1	2,305094E-1	-3,886593E-1	-5,163992E-1	-8,137467E-2	-9,926873E-2
2,902484E-1	1,142923E-2	-7,324636E-1	2,304260E-1	-3,884089E-1	-5,165065E-1	-8,129122E-2	-9,923297E-2
2,902007E-1	1,146499E-2	-7,324875E-1	2,307001E-1	-3,886474E-1	-5,162681E-1	-8,124354E-2	-9,922105E-2
2,901530E-1	1,159612E-2	-7,325351E-1	2,308790E-1	-3,884447E-1	-5,161369E-1	-8,135083E-2	-9,916145E-2
2,903676E-1	1,172725E-2	-7,324040E-1	2,309147E-1	-3,885878E-1	-5,161012E-1	-8,127930E-2	-9,907800E-2
2,902126E-1	1,173917E-2	-7,325471E-1	2,307478E-1	-3,886116E-1	-5,162681E-1	-8,132699E-2	-9,908992E-2
2,901768E-1	1,161996E-2	-7,324994E-1	2,306525E-1	-3,883970E-1	-5,163158E-1	-8,149388E-2	-9,912568E-2
2,902722E-1	1,151267E-2	-7,324875E-1	2,307001E-1	-3,886593E-1	-5,162800E-1	-8,132699E-2	-9,913760E-2
2,902245E-1	1,153651E-2	-7,325709E-1	2,308313E-1	-3,884089E-1	-5,161846E-1	-8,130314E-2	-9,906608E-2
2,903199E-1	1,158420E-2	-7,325471E-1	2,311651E-1	-3,882897E-1	-5,161012E-1	-8,118393E-2	-9,898263E-2
2,902722E-1	1,172725E-2	-7,324517E-1	2,312008E-1	-3,884566E-1	-5,161727E-1	-8,101704E-2	-9,911376E-2
2,903199E-1	1,167957E-2	-7,323921E-1	2,310935E-1	-3,882897E-1	-5,162681E-1	-8,121970E-2	-9,917337E-2
2,902603E-1	1,166764E-2	-7,324517E-1	2,309982E-1	-3,882063E-1	-5,162442E-1	-8,130314E-2	-9,914953E-2
2,902364E-1	1,148883E-2	-7,324636E-1	2,309028E-1	-3,881944E-1	-5,162800E-1	-8,101704E-2	-9,913760E-2
2,903080E-1	1,160804E-2	-7,324159E-1	2,309028E-1	-3,883732E-1	-5,161965E-1	-8,100512E-2	-9,911376E-2
2,902961E-1	1,157228E-2	-7,324875E-1	2,310339E-1	-3,886831E-1	-5,161727E-1	-8,131506E-2	-9,918529E-2
2,902007E-1	1,151267E-2	-7,324636E-1	2,309862E-1	-3,887070E-1	-5,162681E-1	-8,107665E-2	-9,916145E-2
2,902245E-1	1,156036E-2	-7,324755E-1	2,309982E-1	-3,886354E-1	-5,162919E-1	-8,117201E-2	-9,912568E-2
2,902603E-1	1,142923E-2	-7,324755E-1	2,309386E-1	-3,888381E-1	-5,163158E-1	-8,133891E-2	-9,916145E-2
2,902245E-1	1,148883E-2	-7,324517E-1	2,310459E-1	-3,886712E-1	-5,162681E-1	-8,120778E-2	-9,914953E-2
2,902603E-1	1,151267E-2	-7,323444E-1	2,312008E-1	-3,886474E-1	-5,161846E-1	-8,121970E-2	-9,920913E-2
2,902722E-1	1,169149E-2	-7,323563E-1	2,311055E-1	-3,886712E-1	-5,162085E-1	-8,144619E-2	-9,912568E-2
2,903080E-1	1,170341E-2	-7,324040E-1	2,310459E-1	-3,883374E-1	-5,162919E-1	-8,133891E-2	-9,913760E-2
2,901411E-1	1,157228E-2	-7,323802E-1	2,309147E-1	-3,884447E-1	-5,164469E-1	-8,136275E-2	-9,918529E-2
2,902245E-1	1,160804E-2	-7,324636E-1	2,307478E-1	-3,882540E-1	-5,164230E-1	-8,132699E-2	-9,930450E-2
2,903080E-1	1,156036E-2	-7,324040E-1	2,309386E-1	-3,880752E-1	-5,163634E-1	-8,132699E-2	-9,922105E-2
2,902603E-1	1,158420E-2	-7,324875E-1	2,311770E-1	-3,880990E-1	-5,162204E-1	-8,126738E-2	-9,910184E-2
